'Frame (30fps)', 'hips', 'neck', 'head', 'eye_R', 'eye_L', 'clavicle_R', 'shoulder_R', 'upperArm_R', 'elbow_R', 'lowerArm_R', 'hand_R', 'clavicle_L', 'shoulder_L', 'upperArm_L', 'elbow_L', 'lowerArm_L', 'hand_L', 'upperLeg_R', 'knee_R', 'ankle_R', 'upperLeg_L', 'knee_L', 'ankle_L'
37,-173,0,0.07,0,0,23.69,-16.43,-65.64,-5,-42.99,-77.94,77.99,-15.79,-4.47,-5.58,86.83,-74.83,-5.32,10.38,-5.07,-5.31,10.38,-5.07
38,-174,0,0.07,0,0,23.78,-16.71,-65.35,-5,-43.48,-77.81,77.98,-15.79,-4.91,-5.83,87.38,-73.47,-5.33,10.41,-5.08,-5.33,10.4,-5.08
39,-174,0,0.08,0,0,23.9,-17.02,-64.98,-5,-44.09,-77.62,77.98,-15.79,-5.41,-6.12,88,-71.88,-5.34,10.43,-5.09,-5.34,10.42,-5.09
40,-175,0,0.08,0,0,24.04,-17.38,-64.54,-5,-44.8,-77.36,77.97,-15.8,-5.98,-6.45,88.67,-70.09,-5.35,10.45,-5.1,-5.35,10.45,-5.1
41,-176,0,0.08,0,0,24.2,-17.78,-64.03,-5,-45.6,-77.02,77.97,-15.8,-6.62,-6.82,89.39,-68.1,-5.36,10.47,-5.11,-5.36,10.47,-5.11
42,-177,0,0.09,0,0,24.39,-18.22,-63.46,-5,-46.48,-76.59,77.96,-15.8,-7.31,-7.22,90.14,-65.92,-5.37,10.5,-5.12,-5.37,10.49,-5.12
43,-178,0,0.09,0,0,24.6,-18.7,-62.82,-5,-47.42,-76.05,77.95,-15.81,-8.07,-7.66,90.93,-63.56,-5.39,10.52,-5.14,-5.38,10.52,-5.13
44,-178,0,0.09,0,0,24.84,-19.21,-62.12,-5,-48.42,-75.41,77.94,-15.82,-8.88,-8.13,91.72,-61.03,-5.4,10.55,-5.15,-5.4,10.54,-5.15
45,-179,0,0.09,0,0,25.09,-19.75,-61.36,-5,-49.46,-74.64,77.93,-15.82,-9.74,-8.63,92.52,-58.34,-5.41,10.57,-5.16,-5.41,10.57,-5.16
46,-180,0,0.1,0,0,25.36,-20.32,-60.55,-5,-50.53,-73.74,77.92,-15.83,-10.65,-9.16,93.32,-55.51,-5.42,10.6,-5.17,-5.42,10.59,-5.17
47,-181,0,0.1,0,0,25.66,-20.93,-59.68,-5,-51.62,-72.7,77.91,-15.85,-11.61,-9.72,94.1,-52.53,-5.44,10.62,-5.18,-5.44,10.62,-5.18
48,-182,0,0.1,0,0,25.97,-21.56,-58.77,-5,-52.71,-71.51,77.9,-15.86,-12.62,-10.31,94.86,-49.43,-5.45,10.65,-5.2,-5.45,10.65,-5.2
49,-183,0,0.11,0,0,26.31,-22.21,-57.81,-5,-53.8,-70.21,77.89,-15.87,-13.66,-10.93,95.58,-46.2,-5.47,10.68,-5.21,-5.46,10.67,-5.21
50,-184,0,0.11,0,0,26.66,-22.89,-56.81,-5,-54.87,-68.82,77.88,-15.89,-14.74,-11.57,96.25,-42.86,-5.48,10.7,-5.22,-5.48,10.7,-5.22
51,-185,0,0.11,0,0,27.03,-23.59,-55.77,-5,-55.91,-67.32,77.86,-15.91,-15.86,-12.24,96.87,-39.42,-5.49,10.73,-5.24,-5.49,10.73,-5.24
52,-186,0,0.11,0,0,27.41,-24.32,-54.69,-5,-56.91,-65.65,77.85,-15.92,-17.01,-12.92,97.42,-35.89,-5.51,10.76,-5.25,-5.51,10.76,-5.25
53,-187,0,0.12,0,0,27.82,-25.06,-53.58,-5,-57.85,-63.79,77.83,-15.95,-18.19,-13.63,97.89,-32.27,-5.52,10.79,-5.27,-5.52,10.79,-5.27
54,-188,0,0.12,0,0,28.23,-25.81,-52.44,-5,-58.73,-61.69,77.81,-15.97,-19.4,-14.36,98.28,-28.59,-5.54,10.82,-5.28,-5.54,10.82,-5.28
55,-189,0,0.12,0,0,28.67,-26.59,-51.27,-5,-59.53,-59.31,77.79,-16,-20.63,-15.1,98.57,-24.84,-5.56,10.85,-5.3,-5.55,10.85,-5.3
56,-190,0,0.12,0,0,29.12,-27.37,-50.08,-5,-60.24,-56.61,77.77,-16.03,-21.88,-15.86,98.75,-21.04,-5.57,10.89,-5.31,-5.57,10.88,-5.31
57,-191,0,0.13,0,0,29.58,-28.17,-48.87,-5,-60.85,-53.57,77.75,-16.06,-23.15,-16.63,98.81,-17.19,-5.59,10.92,-5.33,-5.59,10.92,-5.33
58,-192,0,0.13,0,0,30.06,-28.97,-47.64,-5,-61.34,-50.13,77.73,-16.09,-24.43,-17.42,98.79,-13.31,-5.61,10.95,-5.35,-5.61,10.95,-5.34
59,-194,0,0.13,0,0,30.54,-29.78,-46.4,-5.01,-61.71,-46.27,77.71,-16.14,-25.73,-18.22,98.75,-9.41,-5.62,10.99,-5.36,-5.62,10.98,-5.36
60,-195,0,0.13,0,0,31.05,-30.6,-45.14,-5.01,-61.94,-41.96,77.69,-16.2,-27.04,-19.04,98.68,-5.49,-5.64,11.02,-5.38,-5.64,11.02,-5.38
61,-196,0,0.14,0,0,31.56,-31.42,-43.87,-5.02,-62.02,-37.28,77.68,-16.26,-28.35,-19.86,98.57,-1.57,-5.66,11.06,-5.4,-5.66,11.06,-5.4
62,-198,0,0.14,0,0,32.08,-32.25,-42.6,-5.03,-61.89,-32.27,77.66,-16.34,-29.67,-20.68,98.43,2.34,-5.68,11.1,-5.42,-5.68,11.09,-5.41
63,-199,0,0.14,0,0,32.62,-33.07,-41.33,-5.04,-61.49,-26.99,77.65,-16.42,-30.98,-21.52,98.24,6.25,-5.7,11.14,-5.44,-5.7,11.13,-5.43
64,-200,0,0.14,0,0,33.16,-33.89,-40.05,-5.06,-60.85,-21.48,77.64,-16.51,-32.3,-22.36,98.01,10.12,-5.72,11.18,-5.45,-5.72,11.17,-5.45
65,-202,0,0.14,0,0,33.71,-34.71,-38.78,-5.08,-59.97,-15.8,77.63,-16.62,-33.61,-23.2,97.73,13.97,-5.74,11.22,-5.47,-5.74,11.21,-5.47
66,-203,0,0.15,0,0,34.3,-35.52,-37.35,-5.11,-58.87,-10,77.62,-16.72,-34.91,-24.05,97.41,17.77,-5.76,11.26,-5.49,-5.76,11.26,-5.49
67,-205,0,0.15,0,0,34.95,-36.33,-35.62,-5.14,-57.56,-4.13,77.61,-16.84,-36.21,-24.89,97.03,21.52,-5.79,11.3,-5.52,-5.78,11.3,-5.51
68,-206,0,0.15,0,0,35.65,-37.13,-33.63,-5.17,-56.04,1.76,77.59,-16.97,-37.48,-25.74,96.6,25.2,-5.81,11.35,-5.54,-5.81,11.34,-5.54
69,-208,0,0.15,0,0,36.42,-37.91,-31.44,-5.22,-54.33,7.61,77.58,-17.1,-38.75,-26.58,96.11,28.81,-5.83,11.39,-5.56,-5.83,11.39,-5.56
70,-210,0,0.15,0,0,37.24,-38.69,-29.09,-5.27,-52.44,13.37,77.57,-17.24,-39.99,-27.42,95.56,32.34,-5.86,11.44,-5.58,-5.85,11.43,-5.58
71,-212,0,0.15,0,0,38.13,-39.45,-26.63,-5.33,-50.39,18.99,77.56,-17.39,-41.21,-28.25,94.94,35.78,-5.88,11.48,-5.6,-5.88,11.48,-5.6
72,-213,0,0.16,0,0,39.09,-40.19,-24.12,-5.39,-48.18,24.42,77.55,-17.54,-42.41,-29.08,94.26,39.11,-5.9,11.53,-5.63,-5.9,11.53,-5.63
73,-215,0,0.16,0,0,40.11,-40.92,-21.6,-5.46,-45.83,29.61,77.53,-17.71,-43.58,-29.9,93.51,42.34,-5.93,11.58,-5.65,-5.93,11.58,-5.65
74,-217,0,0.16,0,0,41.2,-41.62,-19.11,-5.54,-43.34,34.5,77.51,-17.88,-44.71,-30.71,92.68,45.44,-5.96,11.63,-5.68,-5.95,11.63,-5.68
75,-219,0,0.16,0,0,42.36,-42.31,-16.71,-5.64,-40.73,39.05,77.5,-18.05,-45.82,-31.5,91.78,48.41,-5.98,11.69,-5.7,-5.98,11.68,-5.7
76,-221,0,0.16,0,0,43.59,-42.97,-14.45,-5.74,-38.01,43.14,77.47,-18.23,-46.88,-32.29,90.8,51.24,-6.01,11.74,-5.73,-6.01,11.74,-5.73
77,-223,0,0.16,0,0,44.88,-43.6,-12.37,-5.85,-35.2,46.72,77.45,-18.42,-47.91,-33.06,89.74,53.93,-6.04,11.79,-5.76,-6.04,11.79,-5.75
78,-225,0,0.16,0,0,46.26,-44.21,-10.52,-5.97,-32.29,49.84,77.43,-18.61,-48.9,-33.82,88.6,56.45,-6.07,11.85,-5.78,-6.07,11.85,-5.78
79,-227,0,0.16,0,0,47.7,-44.79,-8.96,-6.1,-29.32,52.53,77.4,-18.81,-49.84,-34.56,87.36,58.8,-6.1,11.91,-5.81,-6.09,11.91,-5.81
80,-230,0,0.16,0,0,49.22,-45.34,-7.72,-6.24,-26.28,54.84,77.37,-19.02,-50.73,-35.29,86.04,60.98,-6.13,11.97,-5.84,-6.12,11.96,-5.84
81,-232,0,0.16,0,0,50.89,-45.86,-6.72,-6.45,-23.18,56.82,77.33,-19.23,-51.57,-35.99,84.63,62.96,-6.16,12.03,-5.87,-6.16,12.03,-5.87
82,-236,0,0.16,0,0,52.77,-46.36,-5.81,-6.78,-20.05,58.5,77.3,-19.44,-52.36,-36.67,83.11,64.75,-6.21,12.12,-5.92,-6.2,12.12,-5.91
83,-241,0,0.14,0,0,54.83,-46.84,-5,-7.23,-16.88,59.93,77.26,-19.67,-53.1,-37.34,81.5,66.33,-6.27,12.25,-5.98,-6.27,12.25,-5.98
84,-248,0,0.12,0,0,57.05,-47.3,-4.28,-7.78,-13.7,61.14,77.21,-19.89,-53.77,-37.97,79.79,67.69,-6.36,12.43,-6.07,-6.36,12.43,-6.06
85,-257,0,0.08,0,0,59.37,-47.73,-3.65,-8.44,-10.52,62.18,77.16,-20.12,-54.38,-38.59,77.97,68.82,-6.49,12.67,-6.18,-6.49,12.67,-6.18
86,-270,0,0.04,0,0,61.79,-48.15,-3.09,-9.2,-7.33,63.1,77.11,-20.36,-54.92,-39.17,76.04,69.72,-6.65,12.99,-6.34,-6.65,12.99,-6.34
87,-287,0,-0.01,0,0,64.27,-48.55,-2.61,-10.05,-4.17,63.93,77.05,-20.59,-55.4,-39.73,74,70.37,-6.86,13.39,-6.53,-6.85,13.39,-6.53
88,-309,0,-0.08,0,0,66.78,-48.93,-2.2,-10.99,-1.03,64.71,76.99,-20.84,-55.81,-40.26,71.85,70.76,-7.11,13.88,-6.77,-7.1,13.88,-6.77
89,-335,0,-0.14,0,0,69.29,-49.28,-1.85,-12.01,2.06,65.49,76.92,-21.08,-56.14,-40.75,69.58,70.89,-7.4,14.46,-7.06,-7.4,14.46,-7.05
90,-401,0,-0.22,0,0,71.76,-49.62,-1.56,-13.11,5.11,66.31,76.84,-21.33,-56.13,-40.7,67.17,70.72,-8.1,15.83,-7.72,-8.1,15.82,-7.72
91,-508,0,-0.3,0,0,74.18,-49.94,-1.32,-14.28,8.09,67.21,76.76,-21.59,-56.09,-40.54,64.59,70.21,-9.12,17.81,-8.69,-9.12,17.81,-8.69
92,-604,0,-0.39,0,0,76.5,-50.24,-1.13,-15.51,11,68.14,76.68,-21.84,-56.03,-40.29,61.85,69.37,-9.96,19.44,-9.49,-9.95,19.44,-9.49
93,-668,0,-0.49,0,0,78.71,-50.52,-0.98,-16.81,13.82,69.01,76.59,-22.1,-55.94,-39.93,58.96,68.23,-10.47,20.45,-9.98,-10.47,20.44,-9.97
94,-721,0,-0.59,0,0,80.76,-50.78,-0.87,-18.17,16.54,69.81,76.49,-22.37,-55.83,-39.5,55.93,66.8,-10.88,21.25,-10.37,-10.88,21.25,-10.37
95,-786,0,-0.7,0,0,82.63,-51.02,-0.79,-19.57,19.16,70.56,76.38,-22.63,-55.69,-38.98,52.77,65.09,-11.36,22.19,-10.83,-11.36,22.18,-10.82
96,-865,0,-0.81,0,0,84.29,-51.25,-0.73,-21.02,21.65,71.26,76.23,-22.9,-55.54,-38.38,49.48,63.12,-11.92,23.28,-11.36,-11.92,23.28,-11.36
97,-947,0,-0.93,0,0,85.71,-51.45,-0.7,-22.51,24.01,71.9,75.98,-23.17,-55.36,-37.72,46.08,60.9,-12.48,24.37,-11.89,-12.48,24.36,-11.89
98,-1032,0,-1.05,0,0,86.86,-51.64,-0.68,-24.04,26.23,72.49,75.65,-23.44,-55.15,-36.98,42.58,58.45,-13.03,25.44,-12.41,-13.03,25.44,-12.41
99,-1120,0,-1.18,0,0,87.71,-51.81,-0.68,-25.62,28.29,73.03,75.23,-23.71,-54.93,-36.19,38.98,55.79,-13.57,26.5,-12.93,-13.57,26.5,-12.93
100,-1208,0,-1.31,0,0,88.23,-51.96,-0.68,-27.3,30.19,73.52,74.74,-23.99,-54.68,-35.35,35.3,52.93,-14.1,27.53,-13.43,-14.1,27.53,-13.43
101,-1297,-0.01,-1.44,0.01,0.01,88.56,-52.1,-0.68,-29.07,32,73.96,74.18,-24.27,-54.41,-34.46,31.54,49.88,-14.61,28.53,-13.92,-14.61,28.53,-13.92
102,-1387,-0.03,-1.57,0.03,0.03,88.85,-52.23,-0.71,-30.91,33.84,74.37,73.56,-24.55,-54.12,-33.52,27.71,46.66,-15.12,29.51,-14.4,-15.12,29.51,-14.4
103,-1479,-0.06,-1.71,0.06,0.06,89.1,-52.36,-0.76,-32.83,35.68,74.72,72.87,-24.82,-53.81,-32.55,23.82,43.29,-15.61,30.49,-14.87,-15.61,30.48,-14.87
104,-1572,-0.1,-1.85,0.1,0.1,89.32,-52.49,-0.82,-34.81,37.53,75.04,72.13,-25.1,-53.48,-31.55,19.88,39.78,-16.1,31.44,-15.34,-16.1,31.44,-15.33
105,-1666,-0.16,-2,0.16,0.16,89.5,-52.61,-0.9,-36.85,39.38,75.32,71.34,-25.39,-53.13,-30.52,15.9,36.15,-16.58,32.37,-15.79,-16.58,32.37,-15.79
106,-1760,-0.23,-2.14,0.23,0.23,89.65,-52.73,-1,-38.94,41.24,75.56,70.5,-25.67,-52.76,-29.48,11.88,32.41,-17.05,33.28,-16.23,-17.05,33.27,-16.23
107,-1853,-0.3,-2.29,0.3,0.3,89.78,-52.84,-1.11,-41.08,43.11,75.77,69.63,-25.95,-52.37,-28.42,7.85,28.57,-17.5,34.15,-16.66,-17.49,34.15,-16.65
108,-1944,-0.39,-2.43,0.39,0.39,89.87,-52.95,-1.23,-43.26,44.97,75.94,68.72,-26.23,-51.96,-27.35,3.79,24.66,-17.93,34.99,-17.06,-17.92,34.99,-17.06
109,-2033,-0.49,-2.58,0.49,0.49,89.93,-53.05,-1.37,-45.47,46.82,76.08,67.78,-26.51,-51.53,-26.27,-0.26,20.69,-18.34,35.79,-17.45,-18.33,35.78,-17.45
110,-2119,-0.59,-2.72,0.59,0.59,89.97,-53.15,-1.52,-47.71,48.67,76.2,66.82,-26.79,-51.08,-25.2,-4.32,16.67,-18.72,36.54,-17.82,-18.72,36.54,-17.82
111,-2193,-0.71,-2.87,0.71,0.71,89.98,-53.24,-1.69,-49.97,50.51,76.28,65.84,-27.07,-50.62,-24.14,-8.36,12.61,-19.05,37.18,-18.13,-19.05,37.18,-18.13
112,-2253,-0.83,-3.01,0.83,0.83,89.96,-53.33,-1.86,-52.24,52.34,76.34,64.85,-27.35,-50.14,-23.1,-12.38,8.55,-19.31,37.69,-18.38,-19.31,37.69,-18.38
113,-2307,-0.96,-3.15,0.96,0.96,89.92,-53.42,-2.05,-54.52,54.16,76.37,63.85,-27.63,-49.64,-22.07,-16.37,4.48,-19.54,38.14,-18.6,-19.54,38.14,-18.6
114,-2359,-1.09,-3.3,1.09,1.09,89.86,-53.5,-2.25,-56.79,55.96,76.38,62.85,-27.91,-49.12,-21.07,-20.32,0.42,-19.77,38.58,-18.81,-19.77,38.57,-18.81
115,-2411,-1.24,-3.43,1.24,1.24,89.77,-53.58,-2.46,-59.06,57.74,76.33,61.85,-28.19,-48.59,-20.1,-24.22,-3.6,-19.99,39,-19.02,-19.98,39,-19.02
116,-2462,-1.38,-3.57,1.38,1.38,89.67,-53.66,-2.67,-61.32,59.5,76.18,60.86,-28.46,-48.04,-19.16,-28.07,-7.58,-20.2,39.42,-19.22,-20.2,39.42,-19.22
117,-2513,-1.54,-3.71,1.54,1.54,89.54,-53.73,-2.9,-63.56,61.23,75.93,59.88,-28.73,-47.48,-18.27,-31.85,-11.5,-20.41,39.83,-19.42,-20.41,39.82,-19.42
118,-2563,-1.7,-3.84,1.7,1.7,89.4,-53.8,-3.13,-65.77,62.94,75.61,58.92,-29.01,-46.9,-17.43,-35.55,-15.35,-20.61,40.23,-19.61,-20.61,40.22,-19.61
119,-2612,-1.86,-3.96,1.86,1.86,89.24,-53.86,-3.37,-67.94,64.62,75.22,57.99,-29.28,-46.3,-16.64,-39.17,-19.1,-20.81,40.61,-19.8,-20.81,40.61,-19.8
120,-2660,-2.02,-4.09,2.02,2.02,89.06,-53.93,-3.61,-70.08,66.27,74.76,57.08,-29.54,-45.69,-15.9,-42.7,-22.75,-21.01,40.99,-19.98,-21,40.99,-19.98
121,-2708,-2.19,-4.21,2.19,2.19,88.87,-53.98,-3.86,-72.17,67.89,74.25,56.21,-29.81,-45.07,-15.24,-46.12,-26.27,-21.2,41.36,-20.16,-21.19,41.36,-20.16
122,-2754,-2.36,-4.32,2.36,2.36,88.66,-54.04,-4.12,-74.21,69.46,73.69,55.38,-30.07,-44.43,-14.64,-49.43,-29.66,-21.38,41.72,-20.34,-21.38,41.72,-20.34
123,-2796,-2.54,-4.43,2.54,2.54,88.45,-54.09,-4.37,-76.19,71,73.1,54.59,-30.33,-43.78,-14.12,-52.62,-32.9,-21.54,42.04,-20.49,-21.54,42.03,-20.49
124,-2830,-2.71,-4.53,2.71,2.71,88.22,-54.14,-4.64,-78.1,72.5,72.49,53.85,-30.59,-43.11,-13.68,-55.69,-35.97,-21.68,42.3,-20.62,-21.67,42.29,-20.62
125,-2861,-2.89,-4.63,2.89,2.89,87.98,-54.19,-4.9,-79.95,73.95,71.85,53.17,-30.84,-42.43,-13.33,-58.61,-38.86,-21.8,42.53,-20.73,-21.8,42.53,-20.73
126,-2888,-3.07,-4.72,3.07,3.07,87.73,-54.23,-5.17,-81.71,75.36,71.21,52.55,-31.09,-41.74,-13.08,-61.39,-41.54,-21.9,42.73,-20.83,-21.9,42.73,-20.83
127,-2911,-3.24,-4.81,3.24,3.24,87.47,-54.27,-5.44,-83.39,76.72,70.57,51.99,-31.33,-41.04,-12.92,-64.01,-44.02,-21.99,42.9,-20.91,-21.99,42.9,-20.91
128,-2938,-3.42,-4.88,3.42,3.42,87.2,-54.3,-5.71,-84.97,78.03,69.94,51.51,-31.58,-40.32,-12.86,-66.46,-46.27,-22.09,43.11,-21.01,-22.09,43.1,-21.01
129,-2974,-3.59,-4.96,3.59,3.59,86.93,-54.34,-5.98,-86.46,79.28,69.33,51.1,-31.81,-39.6,-12.97,-68.78,-48.36,-22.23,43.37,-21.14,-22.23,43.37,-21.14
130,-3014,-3.77,-5.02,3.77,3.77,86.65,-54.37,-6.25,-87.84,80.48,68.75,50.77,-32.05,-38.86,-13.29,-71.01,-50.4,-22.38,43.67,-21.29,-22.38,43.66,-21.28
131,-3053,-3.94,-5.07,3.94,3.94,86.37,-54.4,-6.51,-89.1,81.61,68.15,50.53,-32.28,-38.11,-13.8,-73.14,-52.38,-22.53,43.95,-21.42,-22.52,43.95,-21.42
132,-3088,-4.11,-5.12,4.11,4.11,86.09,-54.43,-6.78,-90.25,82.69,67.49,50.39,-32.5,-37.35,-14.49,-75.18,-54.29,-22.66,44.2,-21.55,-22.65,44.2,-21.54
133,-3121,-4.27,-5.16,4.27,4.27,85.81,-54.45,-7.04,-91.28,83.7,66.78,50.34,-32.72,-36.58,-15.36,-77.13,-56.15,-22.78,44.44,-21.66,-22.78,44.44,-21.66
134,-3155,-4.44,-5.19,4.44,4.44,85.52,-54.47,-7.3,-92.17,84.65,66.03,50.39,-32.94,-35.8,-16.4,-78.99,-57.94,-22.91,44.69,-21.78,-23,44.82,-21.82
135,-3193,-4.59,-5.22,4.59,4.59,85.24,-54.49,-7.56,-92.93,85.52,65.25,50.54,-33.15,-35.01,-17.59,-80.77,-59.67,-23.04,44.96,-21.91,-23.41,45.48,-22.08
