'Frame (30fps)', 'hips' (mm), 'neck', 'head', 'eye_R', 'eye_L', 'clavicle_R', 'shoulder_R', 'upperArm_R', 'elbow_R', 'lowerArm_R', 'hand_R', 'clavicle_L', 'shoulder_L', 'upperArm_L', 'elbow_L', 'lowerArm_L', 'hand_L', 'upperLeg_R', 'knee_R', 'ankle_R', 'upperLeg_L', 'knee_L', 'ankle_L', 'toes_r', 'toes_l', 'fingers_r_Ctrl', 'fingers_l_Ctrl'
10,-2,0,0.01,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-4.99,9.75,-4.76,-2.87,9.09,-6.22,-52.06,-38.66,0,0
11,-2,0,0.01,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.01,9.78,-4.78,-2.89,9.12,-6.23,-52.02,-38.62,0,0
12,-2,0,0.01,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.02,9.81,-4.79,-2.9,9.15,-6.25,-51.98,-38.58,0,0
13,-2,0,0.01,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.04,9.84,-4.8,-2.92,9.18,-6.26,-51.93,-38.54,0,0
14,-2,0,0.01,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.05,9.87,-4.82,-2.93,9.21,-6.28,-51.88,-38.49,0,0
15,-2,0,0.01,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.06,9.89,-4.83,-2.95,9.24,-6.29,-51.83,-38.44,0,0
16,-2,0,0.02,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.08,9.92,-4.84,-2.96,9.27,-6.3,-51.77,-38.39,0,0
17,-2,0,0.02,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.09,9.94,-4.85,-2.97,9.29,-6.32,-51.71,-38.34,0,0
18,-2,0,0.02,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.1,9.97,-4.86,-2.99,9.32,-6.33,-51.65,-38.28,0,0
19,-2,0,0.02,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.11,9.99,-4.88,-3,9.34,-6.34,-51.58,-38.22,0,0
20,-2,0,0.02,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.13,10.01,-4.89,-3.01,9.37,-6.36,-51.51,-38.16,0,0
21,-2,0,0.03,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.14,10.04,-4.9,-3.03,9.39,-6.37,-51.43,-38.09,0,0
22,-2,0,0.03,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.15,10.06,-4.91,-3.04,9.42,-6.38,-51.35,-38.02,0,0
23,-2,0,0.03,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.16,10.08,-4.92,-3.05,9.44,-6.39,-51.27,-37.95,0,0
24,-2,0,0.03,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.17,10.1,-4.93,-3.06,9.46,-6.4,-51.18,-37.88,0,0
25,-2,0,0.04,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.18,10.13,-4.94,-3.07,9.49,-6.41,-51.09,-37.8,0,0
26,-2,0,0.04,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.19,10.15,-4.95,-3.09,9.51,-6.42,-51,-37.72,0,0
27,-2,0,0.04,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.21,10.17,-4.96,-3.1,9.53,-6.44,-50.9,-37.64,0,0
28,-2,0,0.04,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.22,10.19,-4.97,-3.11,9.56,-6.45,-50.8,-37.55,0,0
29,-2,0,0.05,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78.01,-15.79,-3.44,-5,85.44,-78.07,-5.23,10.21,-4.98,-3.12,9.58,-6.46,-50.7,-37.46,0,0
30,-2,0,0.05,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78,-15.79,-3.44,-5,85.44,-78.07,-5.24,10.23,-4.99,-3.13,9.6,-6.47,-50.59,-37.37,0,0
31,-2,0,0.05,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78,-15.79,-3.44,-5,85.44,-78.07,-5.25,10.25,-5,-3.14,9.62,-6.48,-50.48,-37.28,0,0
32,-2,0,0.06,0,0,32.81,-15.79,-66.02,-5,-42.32,-78.07,78,-15.79,-3.44,-5,85.44,-78.07,-5.26,10.28,-5.01,-3.16,9.65,-6.49,-50.37,-37.18,0,0
33,-2,0,0.06,0,0,32.81,-15.81,-66.02,-5,-42.32,-78.07,78,-15.79,-3.49,-5.02,85.5,-77.94,-5.27,10.3,-5.03,-3.17,9.67,-6.5,-50.25,-37.09,0,0
34,-2,0,0.06,0,0,32.81,-15.89,-66.02,-5,-42.32,-78.07,78,-15.79,-3.61,-5.1,85.68,-77.54,-5.28,10.32,-5.04,-3.18,9.69,-6.51,-50.13,-36.99,0,0
35,-2,0,0.06,0,0,32.82,-16.03,-65.98,-5,-42.39,-78.06,77.99,-15.79,-3.82,-5.21,85.97,-76.88,-5.29,10.34,-5.05,-3.19,9.72,-6.52,-50.01,-36.88,0,0
36,-2,0,0.07,0,0,32.86,-16.21,-65.85,-5,-42.62,-78.02,77.99,-15.79,-4.11,-5.38,86.36,-75.97,-5.3,10.36,-5.06,-3.2,9.74,-6.54,-49.88,-36.78,0,0
37,-2,0,0.07,0,0,32.93,-16.43,-65.64,-5,-42.99,-77.94,77.99,-15.79,-4.47,-5.58,86.83,-74.83,-5.32,10.38,-5.07,-3.21,9.76,-6.55,-49.75,-36.67,0,0
38,-2,0,0.07,0,0,33.02,-16.71,-65.35,-5,-43.48,-77.81,77.98,-15.79,-4.91,-5.83,87.38,-73.47,-5.33,10.41,-5.08,-3.23,9.79,-6.56,-49.61,-36.56,0,0
39,-2,0,0.08,0,0,33.14,-17.02,-64.98,-5,-44.09,-77.62,77.98,-15.79,-5.41,-6.12,88,-71.88,-5.34,10.43,-5.09,-3.24,9.81,-6.57,-49.47,-36.45,0,0
40,-2,0,0.08,0,0,33.28,-17.38,-64.54,-5,-44.8,-77.36,77.97,-15.8,-5.98,-6.45,88.67,-70.09,-5.35,10.45,-5.1,-3.25,9.83,-6.58,-49.33,-36.34,0,0
41,-2,0,0.08,0,0,33.44,-17.78,-64.03,-5,-45.6,-77.02,77.97,-15.8,-6.62,-6.82,89.39,-68.1,-5.36,10.47,-5.11,-3.26,9.86,-6.59,-49.19,-36.22,0,0
42,-2,0,0.09,0,0,33.63,-18.22,-63.46,-5,-46.48,-76.59,77.96,-15.8,-7.31,-7.22,90.14,-65.92,-5.37,10.5,-5.12,-3.28,9.88,-6.61,-49.04,-36.1,0,0
43,-2,0,0.09,0,0,33.84,-18.7,-62.82,-5,-47.42,-76.05,77.95,-15.81,-8.07,-7.66,90.93,-63.56,-5.39,10.52,-5.14,-3.29,9.91,-6.62,-48.89,-35.98,0,0
44,-2,0,0.09,0,0,34.07,-19.21,-62.12,-5,-48.42,-75.41,77.94,-15.82,-8.88,-8.13,91.72,-61.03,-5.4,10.55,-5.15,-3.3,9.93,-6.63,-48.73,-35.86,0,0
45,-2,0,0.09,0,0,34.33,-19.75,-61.36,-5,-49.46,-74.64,77.93,-15.82,-9.74,-8.63,92.52,-58.34,-5.41,10.57,-5.16,-3.32,9.96,-6.65,-48.57,-35.74,0,0
46,-2,0,0.1,0,0,34.6,-20.32,-60.55,-5,-50.53,-73.74,77.92,-15.83,-10.65,-9.16,93.32,-55.51,-5.42,10.6,-5.17,-3.33,9.99,-6.66,-48.41,-35.61,0,0
47,-2,0,0.1,0,0,34.9,-20.93,-59.68,-5,-51.62,-72.7,77.91,-15.85,-11.61,-9.72,94.1,-52.53,-5.44,10.62,-5.18,-3.34,10.01,-6.67,-48.24,-35.48,0,0
48,-2,0,0.1,0,0,35.21,-21.56,-58.77,-5,-52.71,-71.51,77.9,-15.86,-12.62,-10.31,94.86,-49.43,-5.45,10.65,-5.2,-3.36,10.04,-6.69,-48.07,-35.36,0,0
49,-2,0,0.11,0,0,35.55,-22.21,-57.81,-5,-53.8,-70.21,77.89,-15.87,-13.66,-10.93,95.58,-46.2,-5.47,10.68,-5.21,-3.37,10.07,-6.7,-47.9,-35.22,0,0
50,-2,0,0.11,0,0,35.9,-22.89,-56.81,-5,-54.87,-68.82,77.88,-15.89,-14.74,-11.57,96.25,-42.86,-5.48,10.7,-5.22,-3.39,10.1,-6.71,-47.73,-35.09,0,0
51,-2,0,0.11,0,0,36.27,-23.59,-55.77,-5,-55.91,-67.32,77.86,-15.91,-15.86,-12.24,96.87,-39.42,-5.49,10.73,-5.24,-3.4,10.13,-6.73,-47.55,-34.96,0,0
52,-2,0,0.11,0,0,36.65,-24.32,-54.69,-5,-56.91,-65.65,77.85,-15.92,-17.01,-12.92,97.42,-35.89,-5.51,10.76,-5.25,-3.42,10.16,-6.74,-47.37,-34.82,0.05,0
53,-2,0,0.12,0,0,37.06,-25.06,-53.58,-5,-57.85,-63.79,77.83,-15.95,-18.19,-13.63,97.89,-32.27,-5.52,10.79,-5.27,-3.43,10.19,-6.76,-47.18,-34.68,0.23,0
54,-2,0,0.12,0,0,37.47,-25.81,-52.44,-5,-58.73,-61.69,77.81,-15.97,-19.4,-14.36,98.28,-28.59,-5.54,10.82,-5.28,-3.45,10.23,-6.77,-46.99,-34.54,0.69,0
55,-2,0,0.12,0,0,37.91,-26.59,-51.27,-5,-59.53,-59.31,77.79,-16,-20.63,-15.1,98.57,-24.84,-5.56,10.85,-5.3,-3.47,10.26,-6.79,-46.8,-34.4,1.56,0
56,-2,0,0.12,0,0,38.36,-27.37,-50.08,-5,-60.24,-56.61,77.77,-16.03,-21.88,-15.86,98.75,-21.04,-5.57,10.89,-5.31,-3.49,10.29,-6.81,-46.6,-34.26,3.02,0
57,-2,0,0.13,0,0,38.82,-28.17,-48.87,-5,-60.85,-53.57,77.75,-16.06,-23.15,-16.63,98.81,-17.19,-5.59,10.92,-5.33,-3.5,10.33,-6.82,-46.41,-34.11,5.18,0
58,-2,0,0.13,0,0,39.3,-28.97,-47.64,-5,-61.34,-50.13,77.73,-16.09,-24.43,-17.42,98.79,-13.31,-5.61,10.95,-5.35,-3.52,10.36,-6.84,-46.2,-33.97,8.15,0
59,-2,0,0.13,0,0,39.78,-29.78,-46.4,-5.01,-61.71,-46.27,77.71,-16.14,-25.73,-18.22,98.75,-9.41,-5.62,10.99,-5.36,-3.54,10.4,-6.86,-46,-33.82,11.98,0
60,-2,0,0.13,0,0,40.29,-30.6,-45.14,-5.01,-61.94,-41.96,77.69,-16.2,-27.04,-19.04,98.68,-5.49,-5.64,11.02,-5.38,-3.56,10.44,-6.88,-45.79,-33.67,16.68,0
61,-2,0,0.14,0,0,40.8,-31.42,-43.87,-5.02,-62.02,-37.28,77.68,-16.26,-28.35,-19.86,98.57,-1.57,-5.66,11.06,-5.4,-3.58,10.48,-6.9,-45.58,-33.52,22.2,0
62,-2,0,0.14,0,0,41.32,-32.25,-42.6,-5.03,-61.92,-32.27,77.66,-16.34,-29.67,-20.68,98.43,2.34,-5.68,11.1,-5.42,-3.6,10.52,-6.92,-45.37,-33.37,28.45,0
63,-2,0,0.14,0,0,41.86,-33.07,-41.33,-5.04,-61.61,-26.99,77.65,-16.42,-30.98,-21.52,98.24,6.25,-5.7,11.14,-5.44,-3.62,10.56,-6.94,-45.15,-33.21,35.29,0
64,-2,0,0.14,0,0,42.4,-33.89,-40.05,-5.06,-61.11,-21.48,77.64,-16.51,-32.3,-22.36,98.01,10.12,-5.72,11.18,-5.45,-3.64,10.6,-6.96,-44.93,-33.06,42.54,0
65,-2,0,0.14,0,0,42.95,-34.71,-38.78,-5.08,-60.41,-15.8,77.63,-16.62,-33.61,-23.2,97.73,13.97,-5.74,11.22,-5.47,-3.66,10.64,-6.98,-44.7,-32.9,50,0
66,-2,0,0.15,0,0,43.56,-35.52,-37.35,-5.11,-59.53,-10,77.62,-16.72,-34.91,-24.05,97.41,17.77,-5.76,11.26,-5.49,-3.69,10.69,-7,-44.47,-32.75,57.46,0
67,-2,0,0.15,0,0,44.25,-36.33,-35.62,-5.14,-58.48,-4.13,77.61,-16.84,-36.21,-24.89,97.03,21.52,-5.79,11.3,-5.52,-3.71,10.73,-7.02,-44.24,-32.59,64.71,0
68,-2,0,0.15,0,0,45.02,-37.13,-33.63,-5.17,-57.25,1.76,77.59,-16.97,-37.48,-25.74,96.6,25.2,-5.81,11.35,-5.54,-3.73,10.78,-7.05,-44.01,-32.43,71.55,0
69,-2,0,0.15,0,0,45.86,-37.91,-31.44,-5.22,-55.86,7.61,77.58,-17.1,-38.75,-26.58,96.11,28.81,-5.83,11.39,-5.56,-3.76,10.83,-7.07,-43.77,-32.27,77.8,0
70,-2,0,0.15,0,0,46.78,-38.69,-29.09,-5.27,-54.31,13.37,77.57,-17.24,-39.99,-27.42,95.56,32.34,-5.86,11.44,-5.58,-3.78,10.87,-7.09,-43.53,-32.11,83.32,0
71,-2,0,0.15,0,0,47.75,-39.45,-26.63,-5.33,-52.61,18.99,77.56,-17.39,-41.21,-28.25,94.94,35.78,-5.88,11.48,-5.6,-3.81,10.92,-7.12,-43.29,-31.95,88.02,0
72,-2,0,0.16,0,0,48.79,-40.19,-24.12,-5.39,-50.76,24.42,77.55,-17.54,-42.41,-29.08,94.26,39.11,-5.9,11.53,-5.63,-3.83,10.98,-7.14,-43.04,-31.78,91.85,0
73,-2,0,0.16,0,0,49.88,-40.92,-21.6,-5.46,-48.78,29.61,77.53,-17.71,-43.58,-29.9,93.51,42.34,-5.93,11.58,-5.65,-3.86,11.03,-7.17,-42.79,-31.62,94.82,0
74,-2,0,0.16,0,0,51.01,-41.62,-19.11,-5.54,-46.65,34.5,77.51,-17.88,-44.71,-30.71,92.68,45.44,-5.96,11.63,-5.68,-3.89,11.08,-7.19,-42.54,-31.46,96.98,0
75,-2,0,0.16,0,0,52.18,-42.31,-16.71,-5.64,-44.41,39.05,77.5,-18.05,-45.82,-31.5,91.78,48.41,-5.98,11.69,-5.7,-3.92,11.14,-7.22,-42.28,-31.29,98.44,0
76,-2,0,0.16,0,0,53.39,-42.97,-14.45,-5.74,-42.04,43.14,77.47,-18.23,-46.88,-32.29,90.8,51.24,-6.01,11.74,-5.73,-3.94,11.19,-7.25,-42.02,-31.12,99.31,0
77,-2,0,0.16,0,0,54.63,-43.6,-12.37,-5.85,-39.56,46.72,77.45,-18.42,-47.91,-33.06,89.74,53.93,-6.04,11.79,-5.76,-3.97,11.25,-7.28,-41.76,-30.96,99.77,0
78,-2,0,0.16,0,0,55.89,-44.21,-10.52,-5.97,-36.97,49.84,77.43,-18.61,-48.9,-33.82,88.6,56.45,-6.07,11.85,-5.78,-4,11.31,-7.3,-41.5,-30.79,99.95,0
79,-2,0,0.16,0,0,57.17,-44.79,-8.96,-6.1,-34.28,52.53,77.4,-18.81,-49.84,-34.56,87.36,58.8,-6.1,11.91,-5.81,-4.03,11.37,-7.33,-41.23,-30.62,100,0
80,-2,0,0.16,0,0,58.46,-45.34,-7.72,-6.24,-31.49,54.84,77.37,-19.02,-50.73,-35.29,86.04,60.98,-6.13,11.97,-5.84,-4.06,11.43,-7.36,-40.96,-30.45,100,0
81,-2,0,0.16,0,0,59.83,-45.86,-6.72,-6.45,-28.61,56.82,77.33,-19.23,-51.57,-35.99,84.63,62.96,-6.16,12.03,-5.87,-4.1,11.5,-7.4,-40.68,-30.28,100,0
82,-2,0,0.16,0,0,61.33,-46.36,-5.81,-6.78,-25.66,58.5,77.3,-19.44,-52.36,-36.67,83.11,64.75,-6.21,12.12,-5.92,-4.15,11.59,-7.44,-40.41,-30.11,100,0
83,-2,0,0.14,0,0,62.94,-46.84,-5,-7.23,-22.62,59.93,77.26,-19.67,-53.1,-37.34,81.5,66.33,-6.27,12.25,-5.98,-4.22,11.72,-7.51,-40.12,-29.94,100,0
84,-2,0,0.12,0,0,64.65,-47.3,-4.28,-7.78,-19.52,61.14,77.21,-19.89,-53.77,-37.97,79.79,67.69,-6.36,12.43,-6.07,-4.31,11.91,-7.6,-39.84,-29.77,100,0
85,-3,0,0.08,0,0,66.43,-47.73,-3.65,-8.44,-16.35,62.18,77.16,-20.12,-54.38,-38.59,77.97,68.82,-6.49,12.67,-6.18,-4.44,12.17,-7.72,-39.55,-29.59,100,0
86,-3,0,0.04,0,0,68.26,-48.15,-3.09,-9.2,-13.13,63.1,77.11,-20.36,-54.92,-39.17,76.04,69.72,-6.65,12.99,-6.34,-4.61,12.5,-7.89,-39.27,-29.42,100,0
87,-3,0,-0.01,0,0,70.13,-48.55,-2.61,-10.05,-9.85,63.93,77.05,-20.59,-55.4,-39.73,74,70.37,-6.86,13.39,-6.53,-4.82,12.91,-8.09,-38.97,-29.25,100,0
88,-3,0,-0.08,0,0,72.01,-48.93,-2.2,-10.99,-6.53,64.71,76.99,-20.84,-55.81,-40.26,71.85,70.76,-7.11,13.88,-6.77,-5.08,13.42,-8.34,-38.68,-29.07,100,0
89,-3,0,-0.14,0,0,73.88,-49.28,-1.85,-12.01,-3.18,65.49,76.92,-21.08,-56.14,-40.75,69.58,70.89,-7.4,14.46,-7.06,-5.39,14.02,-8.63,-38.38,-28.9,100,0
90,-4,0,-0.22,0,0,75.72,-49.62,-1.56,-13.11,0.21,66.31,76.84,-21.33,-56.13,-40.7,67.17,70.72,-8.1,15.83,-7.72,-6.1,15.42,-9.32,-38.08,-28.73,100,0
91,-5,0,-0.3,0,0,77.52,-49.94,-1.32,-14.28,3.63,67.21,76.76,-21.59,-56.09,-40.54,64.59,70.21,-9.12,17.81,-8.69,-7.14,17.45,-10.31,-37.77,-28.55,100,0
92,-6,0,-0.39,0,0,79.25,-50.24,-1.13,-15.51,7.06,68.14,76.68,-21.84,-56.03,-40.29,61.85,69.37,-9.96,19.44,-9.49,-7.98,19.11,-11.13,-37.46,-28.38,100,0
93,-7,0,-0.49,0,0,80.89,-50.52,-0.98,-16.81,10.51,69.01,76.59,-22.1,-55.94,-39.93,58.96,68.23,-10.47,20.45,-9.98,-8.5,20.13,-11.63,-37.15,-28.2,100,0
94,-7,0,-0.59,0,0,82.42,-50.78,-0.87,-18.17,13.96,69.81,76.49,-22.37,-55.83,-39.5,55.93,66.8,-10.88,21.25,-10.37,-8.92,20.95,-12.03,-36.84,-28.03,100,0
95,-8,0,-0.7,0,0,83.83,-51.02,-0.79,-19.57,17.41,70.56,76.38,-22.63,-55.69,-38.98,52.77,65.09,-11.36,22.19,-10.83,-9.4,21.89,-12.49,-36.52,-27.85,100,0
96,-9,0,-0.81,0,0,85.09,-51.25,-0.73,-21.02,20.86,71.26,76.23,-22.9,-55.54,-38.38,49.48,63.12,-11.92,23.28,-11.36,-9.96,23,-13.04,-36.19,-27.68,100,0
97,-9,0,-0.93,0,0,86.17,-51.45,-0.7,-22.51,24.29,71.9,75.98,-23.17,-55.36,-37.72,46.08,60.9,-12.48,24.37,-11.89,-10.52,24.1,-13.58,-35.8,-27.5,100,0
98,-10,0,-1.05,0,0,87.08,-51.64,-0.68,-24.04,27.71,72.49,75.65,-23.44,-55.15,-36.98,42.58,58.45,-13.03,25.44,-12.41,-11.08,25.19,-14.11,-35.38,-27.33,100,0
99,-11,0,-1.18,0,0,87.77,-51.81,-0.68,-25.62,31.1,73.03,75.23,-23.71,-54.93,-36.19,38.98,55.79,-13.57,26.5,-12.93,-11.62,26.25,-14.63,-34.93,-27.11,100,0
100,-12,0,-1.31,0,0,88.23,-51.96,-0.68,-27.3,34.45,73.52,74.74,-23.99,-54.68,-35.35,35.3,52.93,-14.1,27.53,-13.43,-12.15,27.29,-15.14,-34.43,-26.8,100,0
101,-13,-0.01,-1.44,0.01,0.01,88.56,-52.1,-0.68,-29.07,37.77,73.96,74.18,-24.27,-54.41,-34.46,31.54,49.88,-14.61,28.53,-13.92,-12.66,28.3,-15.64,-33.91,-26.42,100,0
102,-14,-0.03,-1.57,0.03,0.03,88.85,-52.23,-0.71,-30.91,41.05,74.37,73.56,-24.55,-54.12,-33.52,27.71,46.66,-15.12,29.51,-14.4,-13.17,29.29,-16.13,-33.35,-25.98,100,0
103,-15,-0.06,-1.71,0.06,0.06,89.1,-52.36,-0.76,-32.83,44.27,74.72,72.87,-24.82,-53.81,-32.55,23.82,43.29,-15.61,30.49,-14.87,-13.66,30.27,-16.61,-32.76,-25.48,100,0
104,-16,-0.1,-1.85,0.1,0.1,89.32,-52.49,-0.82,-34.81,47.44,75.04,72.13,-25.1,-53.48,-31.55,19.88,39.78,-16.1,31.44,-15.34,-14.15,31.23,-17.08,-32.14,-24.94,100,0
105,-17,-0.16,-2,0.16,0.16,89.5,-52.61,-0.9,-36.85,50.54,75.32,71.34,-25.39,-53.13,-30.52,15.9,36.15,-16.58,32.37,-15.79,-14.63,32.17,-17.54,-31.49,-24.36,100,0
106,-18,-0.23,-2.14,0.23,0.23,89.65,-52.73,-1,-38.94,53.58,75.56,70.5,-25.67,-52.76,-29.48,11.88,32.41,-17.05,33.28,-16.23,-15.09,33.08,-17.99,-30.82,-23.76,100,0
107,-19,-0.3,-2.29,0.3,0.3,89.78,-52.84,-1.11,-41.08,56.53,75.77,69.63,-25.95,-52.37,-28.42,7.85,28.57,-17.5,34.15,-16.66,-15.54,33.95,-18.42,-30.13,-23.14,100,0
108,-19,-0.39,-2.43,0.39,0.39,89.87,-52.95,-1.23,-43.26,59.41,75.94,68.72,-26.23,-51.96,-27.35,3.79,24.66,-17.93,34.99,-17.06,-15.96,34.8,-18.83,-29.41,-22.51,100,0
109,-20,-0.49,-2.58,0.49,0.49,89.93,-53.05,-1.37,-45.47,62.19,76.08,67.78,-26.51,-51.53,-26.27,-0.26,20.69,-18.34,35.79,-17.45,-16.37,35.6,-19.23,-28.68,-21.89,100,0
110,-21,-0.59,-2.72,0.59,0.59,89.97,-53.15,-1.52,-47.71,64.89,76.2,66.82,-26.79,-51.08,-25.2,-4.32,16.67,-18.72,36.54,-17.82,-16.76,36.36,-19.6,-27.93,-21.28,100,0
111,-22,-0.71,-2.87,0.71,0.71,89.98,-53.24,-1.69,-49.97,67.48,76.28,65.84,-27.07,-50.62,-24.14,-8.36,12.61,-19.05,37.18,-18.13,-17.08,37,-19.92,-27.16,-20.7,100,0
112,-23,-0.83,-3.01,0.83,0.83,89.96,-53.33,-1.86,-52.24,69.96,76.34,64.85,-27.35,-50.14,-23.1,-12.38,8.55,-19.31,37.69,-18.38,-17.34,37.51,-20.17,-26.38,-20.14,100,0
113,-23,-0.96,-3.15,0.96,0.96,89.92,-53.42,-2.05,-54.52,72.33,76.37,63.85,-27.63,-49.64,-22.07,-16.37,4.48,-19.54,38.14,-18.6,-17.57,37.96,-20.39,-25.59,-19.63,100,0
114,-24,-1.09,-3.3,1.09,1.09,89.86,-53.5,-2.25,-56.79,74.57,76.38,62.85,-27.91,-49.12,-21.07,-20.32,0.42,-19.77,38.58,-18.81,-17.79,38.4,-20.61,-24.78,-19.17,100,0
115,-24,-1.24,-3.43,1.24,1.24,89.77,-53.58,-2.46,-59.06,76.69,76.33,61.85,-28.19,-48.59,-20.1,-24.22,-3.6,-19.99,39,-19.02,-18.01,38.83,-20.82,-23.97,-18.77,100,0
116,-25,-1.38,-3.57,1.38,1.38,89.67,-53.66,-2.67,-61.32,78.68,76.18,60.86,-28.46,-48.04,-19.16,-28.07,-7.58,-20.2,39.42,-19.22,-18.22,39.25,-21.02,-23.15,-18.45,100,0
117,-25,-1.54,-3.71,1.54,1.54,89.54,-53.73,-2.9,-63.56,80.53,75.93,59.88,-28.73,-47.48,-18.27,-31.85,-11.5,-20.41,39.83,-19.42,-18.43,39.66,-21.22,-22.33,-18.2,100,0
118,-26,-1.7,-3.84,1.7,1.7,89.4,-53.8,-3.13,-65.77,82.23,75.61,58.92,-29.01,-46.9,-17.43,-35.55,-15.35,-20.61,40.23,-19.61,-18.63,40.05,-21.42,-21.5,-18.05,100,0
